"Location","Month","Crime.type","Latitude","Longitude","Postcode"
"abbey park","2015-01","Anti-social behaviour",54.591375,-5.841562,"BT489DS"
"abbey road","2015-01","Anti-social behaviour",54.607699,-5.529113,"BT414SH"
"abbey street","2015-01","Anti-social behaviour",54.657207,-5.672662,"BT521DS"
"abbey street","2015-01","Anti-social behaviour",54.6581,-5.671433,"BT521DS"
"abbeycroft road","2015-01","Anti-social behaviour",54.680027,-5.906281,"BT370YL"
"abbeydale drive","2015-01","Anti-social behaviour",54.617953,-5.974605,"BT147HL"
"abercorn street","2015-01","Anti-social behaviour",54.586411,-5.93765,"BT96UD"
"academy road","2015-01","Anti-social behaviour",55.004664,-7.330553,"BT487LA"
"academy street","2015-01","Anti-social behaviour",54.603997,-5.927784,"BT12LS"
"agherton gardens","2015-01","Anti-social behaviour",55.077329,-6.50387,"BT536PR"
"agnew street","2015-01","Anti-social behaviour",54.85276,-5.81549,"BT401RF"
"ajax court","2015-01","Anti-social behaviour",54.722494,-6.215958,"BT414HH"
"alder lane","2015-01","Anti-social behaviour",54.450703,-5.765074,"BT247BF"
"alfred street","2015-01","Anti-social behaviour",54.595132,-5.927414,"BT28ED"
"altananam park","2015-01","Anti-social behaviour",55.197621,-6.259856,"BT546EE"
"altmore gardens","2015-01","Anti-social behaviour",54.174185,-6.351678,"BT358EX"
"anderson crescent","2015-01","Anti-social behaviour",55.042174,-6.929531,"BT472BY"
"ann street","2015-01","Anti-social behaviour",54.598958,-5.926802,"BT14EB"
"ann street","2015-01","Anti-social behaviour",55.202263,-6.247794,"BT14EB"
"annadale embankment","2015-01","Anti-social behaviour",54.577509,-5.927226,"BT73EF"
"annvale gardens","2015-01","Anti-social behaviour",54.253627,-6.692124,"BT602RS"
"annvale road","2015-01","Anti-social behaviour",54.249695,-6.68826,"BT602NY"
"antrim road","2015-01","Anti-social behaviour",54.668935,-5.954923,"BT390AH"
"antrim road","2015-01","Anti-social behaviour",54.676364,-5.970349,"BT390AH"
"antrim street","2015-01","Anti-social behaviour",54.513538,-6.049408,"BT281AU"
"apollo avenue","2015-01","Anti-social behaviour",55.193693,-6.646242,"BT568HH"
"archvale drive","2015-01","Anti-social behaviour",54.677033,-5.947632,"BT366LW"
"ard-na-maine","2015-01","Anti-social behaviour",54.889541,-6.346262,"BT421BY"
"ard ri park","2015-01","Anti-social behaviour",54.348652,-6.669715,"BT604JS"
"ardaluin court","2015-01","Anti-social behaviour",54.220608,-5.909288,"BT330RT"
"ardanlee","2015-01","Anti-social behaviour",55.046442,-7.278605,"BT488RR"
"ardcarn park","2015-01","Anti-social behaviour",54.592592,-5.823735,"BT57RQ"
"ardilea court","2015-01","Anti-social behaviour",54.614868,-5.951986,"BT147DT"
"ardmore park","2015-01","Anti-social behaviour",54.193271,-6.142014,"BT100JL"
"ardmore road","2015-01","Anti-social behaviour",54.497527,-6.422472,"BT666QP"
"ardnasaggart terrace","2015-01","Anti-social behaviour",54.537367,-6.701481,"BT714RG"
"ardnaskea park","2015-01","Anti-social behaviour",54.541613,-6.70201,"BT714SF"
"ardowen","2015-01","Anti-social behaviour",54.445905,-6.357243,"BT655EQ"
"ardpatrick avenue","2015-01","Anti-social behaviour",54.322215,-5.712699,"BT306JF"
"ardvanagh grange","2015-01","Anti-social behaviour",54.633592,-5.667909,"BT237XJ"
"argyll street","2015-01","Anti-social behaviour",54.737134,-6.215687,"BT412TW"
"armoy gardens","2015-01","Anti-social behaviour",54.662047,-5.913018,"BT379AU"
"arthur square","2015-01","Anti-social behaviour",54.598562,-5.927828,"BT14FD"
"artillery road","2015-01","Anti-social behaviour",55.137494,-6.660878,"BT521QL"
"ashbourne court","2015-01","Anti-social behaviour",54.589785,-7.319635,"BT716XF"
"ashfield gardens","2015-01","Anti-social behaviour",54.6234,-5.932232,"BT153FW"
"ashleigh manor","2015-01","Anti-social behaviour",54.580517,-5.946069,"BT96JY"
"ashley drive","2015-01","Anti-social behaviour",54.661553,-5.641398,"BT97BE"
"ashmore place","2015-01","Anti-social behaviour",54.600863,-5.953215,"BT132PU"
"ashmount gardens","2015-01","Anti-social behaviour",54.510546,-6.028906,"BT275BZ"
"ashton avenue","2015-01","Anti-social behaviour",54.563367,-5.992775,"BT100JR"
"asylum road","2015-01","Anti-social behaviour",55.001753,-7.325601,"BT487DL"
"austin drive","2015-01","Anti-social behaviour",54.354794,-6.411058,"BT622AR"
"ballee grove","2015-01","Anti-social behaviour",54.829442,-7.449785,"BT828RP"
"balloo walk","2015-01","Anti-social behaviour",54.641352,-5.656093,"BT197HL"
"ballyclare road","2015-01","Anti-social behaviour",54.691919,-5.969898,"BT390PE"
"ballyclare road","2015-01","Anti-social behaviour",54.692914,-5.971399,"BT390PE"
"ballycolman avenue","2015-01","Anti-social behaviour",54.823291,-7.468321,"BT829AG"
"ballycolman estate","2015-01","Anti-social behaviour",54.817282,-7.462457,"BT829EH"
"ballycolman estate","2015-01","Anti-social behaviour",54.818584,-7.460293,"BT829EH"
"ballycolman estate","2015-01","Anti-social behaviour",54.819119,-7.4594,"BT829EH"
"ballycolman road","2015-01","Anti-social behaviour",54.814019,-7.466078,"BT829PH"
"ballycruttle road","2015-01","Anti-social behaviour",54.306581,-5.63503,"BT307EW"
"ballygawley road","2015-01","Anti-social behaviour",54.503001,-6.805828,"BT717DF"
"ballygawley road","2015-01","Anti-social behaviour",54.503352,-6.780717,"BT717DF"
"ballygomartin road","2015-01","Anti-social behaviour",54.609228,-5.965442,"BT133NA"
"ballylintagh road","2015-01","Anti-social behaviour",55.072524,-6.653187,"BT266QQ"
"ballylucas road","2015-01","Anti-social behaviour",54.340963,-7.577581,"BT945FD"
"ballymote park","2015-01","Anti-social behaviour",54.316006,-5.70894,"BT306RW"
"ballymote park","2015-01","Anti-social behaviour",54.316277,-5.707588,"BT306RW"
"ballynahinch road","2015-01","Anti-social behaviour",54.507232,-6.037326,"BT88DN"
"ballyoran park","2015-01","Anti-social behaviour",54.433011,-6.453803,"BT621JW"
"ballyoran park","2015-01","Anti-social behaviour",54.433683,-6.456443,"BT621JW"
"ballyphilip road","2015-01","Anti-social behaviour",54.381476,-5.537864,"BT221RD"
"ballysaggart park","2015-01","Anti-social behaviour",54.505843,-6.786247,"BT701UJ"
"ballysillan park","2015-01","Anti-social behaviour",54.62974,-5.968119,"BT148HB"
"ballysillan road","2015-01","Anti-social behaviour",54.631045,-5.960744,"BT147QT"
"ballytrustan road","2015-01","Anti-social behaviour",54.333574,-5.626715,"BT307AQ"
"bards hill","2015-01","Anti-social behaviour",54.984464,-7.316331,"BT472DR"
"barn road","2015-01","Anti-social behaviour",54.722327,-5.794821,"BT387EU"
"barnetts green","2015-01","Anti-social behaviour",54.59136,-5.847257,"BT57AG"
"barnfield road","2015-01","Anti-social behaviour",54.543848,-6.041317,"BT283TQ"
"barrack street","2015-01","Anti-social behaviour",54.825632,-7.461568,"BT714LS"
"bath terrace","2015-01","Anti-social behaviour",55.208021,-6.653578,"BT568AN"
"bay road","2015-01","Anti-social behaviour",55.014176,-7.312731,"BT487SH"
"beaumont drive","2015-01","Anti-social behaviour",54.645646,-5.636618,"BT196WH"
"beckett avenue","2015-01","Anti-social behaviour",55.079334,-6.534298,"BT536TX"
"beechland drive","2015-01","Anti-social behaviour",54.502902,-6.053481,"BT281HR"
"beechland road","2015-01","Anti-social behaviour",54.752689,-6.598811,"BT456BG"
"beechlawn park","2015-01","Anti-social behaviour",54.55279,-5.998658,"BT179NR"
"beechmount pass","2015-01","Anti-social behaviour",54.595212,-5.962319,"BT127NW"
"beechway","2015-01","Anti-social behaviour",54.650934,-6.737384,"BT808LG"
"beechway","2015-01","Anti-social behaviour",54.650615,-6.740384,"BT808LG"
"beersbridge road","2015-01","Anti-social behaviour",54.593445,-5.887579,"BT55EG"
"beersbridge road","2015-01","Anti-social behaviour",54.593078,-5.88865,"BT55EG"
"belfast road","2015-01","Anti-social behaviour",54.712692,-5.814448,"BT203GS"
"belfast road","2015-01","Anti-social behaviour",54.461861,-6.294961,"BT203GS"
"bellevue park","2015-01","Anti-social behaviour",54.518078,-6.053501,"BT367QD"
"belmont church road","2015-01","Anti-social behaviour",54.598666,-5.865101,"BT43FG"
"beltany road","2015-01","Anti-social behaviour",54.617056,-7.330341,"BT785NA"
"ben varden avenue","2015-01","Anti-social behaviour",54.992493,-7.308118,"BT472AS"
"benevenagh drive","2015-01","Anti-social behaviour",55.04635,-6.946879,"BT490AJ"
"benview estate","2015-01","Anti-social behaviour",55.032846,-7.359531,"BT480NQ"
"bethany street","2015-01","Anti-social behaviour",54.595523,-5.869769,"BT43FE"
"bingham lane","2015-01","Anti-social behaviour",54.662003,-5.666901,"BT205DR"
"bingham street east","2015-01","Anti-social behaviour",54.661284,-5.665981,"BT205DP"
"bingnian drive","2015-01","Anti-social behaviour",54.58073,-5.991937,"BT118JD"
"bishopshill","2015-01","Anti-social behaviour",54.413027,-6.153683,"BT251FL"
"blaris park","2015-01","Anti-social behaviour",54.500329,-6.058297,"BT281NQ"
"bleerick drive","2015-01","Anti-social behaviour",54.713625,-6.185606,"BT411HU"
"bonds street","2015-01","Anti-social behaviour",54.996744,-7.308576,"BT476EG"
"boneybefore","2015-01","Anti-social behaviour",54.723656,-5.780483,"BT387EQ"
"bow street","2015-01","Anti-social behaviour",54.511444,-6.047732,"BT281BN"
"braeside gardens","2015-01","Anti-social behaviour",54.401479,-5.650517,"BT309QE"
"braeside park","2015-01","Anti-social behaviour",54.353737,-7.641261,"BT449EN"
"brambling close","2015-01","Anti-social behaviour",54.525044,-6.065388,"BT283PN"
"breda park","2015-01","Anti-social behaviour",54.560064,-5.909219,"BT86JR"
"breezemount avenue","2015-01","Anti-social behaviour",54.630667,-5.669548,"BT237TT"
"bridge street","2015-01","Anti-social behaviour",54.823816,-7.465187,"BT440RP"
"bridge street link","2015-01","Anti-social behaviour",54.55143,-5.74428,"BT235YH"
"bridgend road","2015-01","Anti-social behaviour",54.753498,-5.758173,"BT389LA"
"broadway","2015-01","Anti-social behaviour",54.851015,-5.819368,"BT126HY"
"brook street","2015-01","Anti-social behaviour",55.133386,-6.667146,"BT785HD"
"brookdale park","2015-01","Anti-social behaviour",55.030072,-7.323343,"BT488HH"
"brooke park","2015-01","Anti-social behaviour",54.855939,-6.270103,"BT817ED"
"brooke park","2015-01","Anti-social behaviour",54.855274,-6.269415,"BT817ED"
"brookfield place","2015-01","Anti-social behaviour",54.612637,-5.958754,"BT147FN"
"brookhill avenue","2015-01","Anti-social behaviour",54.61603,-5.940006,"BT146BS"
"brooklands manor","2015-01","Anti-social behaviour",54.661933,-5.632742,"BT205LJ"
"brucevale court","2015-01","Anti-social behaviour",54.612746,-5.938129,"BT146BG"
"brucevale park","2015-01","Anti-social behaviour",54.61323,-5.939684,"BT146BQ"
"bryansford road","2015-01","Anti-social behaviour",54.227301,-5.923242,"BT345LN"
"bryansford road","2015-01","Anti-social behaviour",54.206882,-5.893519,"BT345LN"
"bryson street","2015-01","Anti-social behaviour",54.597673,-5.904877,"BT54ES"
"burn road","2015-01","Anti-social behaviour",54.646838,-6.745148,"BT808DN"
"burnside avenue","2015-01","Anti-social behaviour",54.5545,-5.903877,"BT86HW"
"burnside park","2015-01","Anti-social behaviour",55.12048,-6.681433,"BT86HU"
"burnview terrace","2015-01","Anti-social behaviour",54.351547,-6.264111,"BT324DJ"
"burrenview way","2015-01","Anti-social behaviour",54.222905,-5.893638,"BT330JQ"
"bush park","2015-01","Anti-social behaviour",54.722949,-6.202372,"BT411BX"
"bush road","2015-01","Anti-social behaviour",54.529506,-6.71069,"BT412QB"
"caledon street","2015-01","Anti-social behaviour",54.604544,-5.961001,"BT133AX"
"cambourne crescent","2015-01","Anti-social behaviour",55.058394,-6.520227,"BT234WA"
"cambrai drive","2015-01","Anti-social behaviour",54.434747,-6.290601,"BT667QU"
"cameron court","2015-01","Anti-social behaviour",54.754506,-5.999062,"BT399UZ"
"cameron park","2015-01","Anti-social behaviour",54.860783,-6.305249,"BT421QJ"
"campion court","2015-01","Anti-social behaviour",54.984586,-7.314174,"BT472EW"
"canal place","2015-01","Anti-social behaviour",54.534443,-6.688581,"BT714RA"
"canberra gardens","2015-01","Anti-social behaviour",54.577587,-5.699942,"BT234RN"
"cannon dale","2015-01","Anti-social behaviour",54.594518,-7.301966,"BT781JU"
"carbry heights","2015-01","Anti-social behaviour",54.244846,-6.700947,"BT603AW"
"carlingford street","2015-01","Anti-social behaviour",54.588252,-5.903567,"BT68NE"
"carlisle park","2015-01","Anti-social behaviour",54.395883,-5.887876,"BT248HL"
"carmeen gardens","2015-01","Anti-social behaviour",54.587275,-5.704734,"BT234PP"
"carmel street","2015-01","Anti-social behaviour",54.582198,-5.926106,"BT71QF"
"carney hall","2015-01","Anti-social behaviour",54.193148,-6.321428,"BT341GA"
"carnhill","2015-01","Anti-social behaviour",55.025029,-7.321051,"BT488BG"
"carnhill","2015-01","Anti-social behaviour",55.023058,-7.320302,"BT488BG"
"carnreagh bend","2015-01","Anti-social behaviour",54.664171,-5.923682,"BT379EG"
"carrowreagh road","2015-01","Anti-social behaviour",54.596171,-5.781839,"BT538RS"
"carrs glen park","2015-01","Anti-social behaviour",54.63157,-5.961492,"BT148HE"
"carthall manor","2015-01","Anti-social behaviour",55.132131,-6.68812,"BT513GR"
"casaeldona park","2015-01","Anti-social behaviour",54.574443,-5.873313,"BT69RB"
"castle lane","2015-01","Anti-social behaviour",55.132497,-6.677054,"BT235EB"
"castle lane","2015-01","Anti-social behaviour",54.598579,-5.929328,"BT235EB"
"castle park","2015-01","Anti-social behaviour",55.050697,-6.931306,"BT538EW"
"castle street","2015-01","Anti-social behaviour",54.551018,-5.747209,"BT210DN"
"castle street","2015-01","Anti-social behaviour",54.599189,-5.930334,"BT210DN"
"castle villas","2015-01","Anti-social behaviour",54.634292,-6.736924,"BT808JE"
"castlekeele","2015-01","Anti-social behaviour",54.177754,-6.356391,"BT358GJ"
"castlereagh road","2015-01","Anti-social behaviour",54.588542,-5.895986,"BT55FF"
"castleview court","2015-01","Anti-social behaviour",54.578789,-5.866017,"BT797RD"
"castlevue gardens","2015-01","Anti-social behaviour",54.479666,-6.230421,"BT670JU"
"cathedral close","2015-01","Anti-social behaviour",54.348038,-6.654925,"BT617EE"
"cavan road","2015-01","Anti-social behaviour",54.493545,-6.704167,"BT817UB"
"cedar grove","2015-01","Anti-social behaviour",55.11371,-6.68421,"BT189QB"
"cedar heights","2015-01","Anti-social behaviour",54.229899,-5.933756,"BT344BA"
"central avenue","2015-01","Anti-social behaviour",54.660764,-5.673962,"BT557BP"
"chapel fields","2015-01","Anti-social behaviour",54.235892,-6.168122,"BT345AG"
"chestnut glen","2015-01","Anti-social behaviour",54.590618,-6.216453,"BT294GJ"
"cheviot avenue","2015-01","Anti-social behaviour",54.598421,-5.885402,"BT43AG"
"chichester park east","2015-01","Anti-social behaviour",54.856328,-6.265227,"BT424BH"
"chichester street","2015-01","Anti-social behaviour",54.597383,-5.927733,"BT14JQ"
"chisholm mews","2015-01","Anti-social behaviour",54.751092,-6.003937,"BT399FN"
"church lane","2015-01","Anti-social behaviour",54.600378,-5.92577,"BT623PW"
"church road","2015-01","Anti-social behaviour",54.59298,-5.802918,"BT448QY"
"church road","2015-01","Anti-social behaviour",54.195084,-6.399679,"BT448QY"
"church street","2015-01","Anti-social behaviour",54.420425,-6.446204,"BT536DL"
"church view","2015-01","Anti-social behaviour",54.257494,-5.847552,"BT413AH"
"churchill gardens","2015-01","Anti-social behaviour",54.430994,-6.448531,"BT621HE"
"churchill park","2015-01","Anti-social behaviour",54.433151,-6.449266,"BT621ER"
"cidercourt road","2015-01","Anti-social behaviour",54.620885,-6.218148,"BT294XQ"
"clandeboye drive","2015-01","Anti-social behaviour",54.648005,-5.693269,"BT191AH"
"clandeboye gardens","2015-01","Anti-social behaviour",54.596648,-5.905874,"BT54PE"
"clandeboye road","2015-01","Anti-social behaviour",54.653509,-5.680808,"BT191AA"
"clanmorris street","2015-01","Anti-social behaviour",54.61305,-5.925466,"BT151GU"
"clanrolla park","2015-01","Anti-social behaviour",54.439602,-6.36286,"BT655HZ"
"claremont street","2015-01","Anti-social behaviour",54.586776,-5.937415,"BT96JX"
"clarke court","2015-01","Anti-social behaviour",54.71399,-6.220506,"BT414JS"
"clarmont avenue","2015-01","Anti-social behaviour",54.258383,-5.940603,"BT319BX"
"clifton crescent","2015-01","Anti-social behaviour",54.61481,-5.943815,"BT146LF"
"cliftonville road","2015-01","Anti-social behaviour",54.61425,-5.938347,"BT146LE"
"clondermott park","2015-01","Anti-social behaviour",54.986032,-7.301559,"BT472LF"
"clontarf heights","2015-01","Anti-social behaviour",54.594496,-7.321754,"BT785BL"
"clooney road","2015-01","Anti-social behaviour",55.042869,-7.044257,"BT476TB"
"clooney road","2015-01","Anti-social behaviour",55.036801,-7.089307,"BT476TB"
"clover brae","2015-01","Anti-social behaviour",54.355937,-7.590255,"BT744AB"
"cloverhill park","2015-01","Anti-social behaviour",54.648058,-5.638213,"BT513RF"
"coagh crescent","2015-01","Anti-social behaviour",54.64884,-6.744188,"BT808NH"
"colban crescent","2015-01","Anti-social behaviour",54.455954,-6.331305,"BT668HY"
"colchester park","2015-01","Anti-social behaviour",54.588955,-5.943524,"BT125PZ"
"colenso parade","2015-01","Anti-social behaviour",54.579714,-5.931677,"BT95BB"
"colinvale","2015-01","Anti-social behaviour",54.570556,-6.027232,"BT170JW"
"college park lane","2015-01","Anti-social behaviour",54.352658,-7.612111,"BT746GF"
"college square north","2015-01","Anti-social behaviour",54.197876,-6.393411,"BT357DQ"
"college square north","2015-01","Anti-social behaviour",54.197653,-6.394186,"BT357DQ"
"collinward grove","2015-01","Anti-social behaviour",54.66908,-5.948095,"BT366DQ"
"connswater street","2015-01","Anti-social behaviour",54.598019,-5.891737,"BT41HT"
"cooke court","2015-01","Anti-social behaviour",54.588541,-5.921916,"BT72ER"
"coolessan walk","2015-01","Anti-social behaviour",55.039971,-6.944669,"BT499EN"
"corrib avenue","2015-01","Anti-social behaviour",54.576247,-6.007763,"BT119JB"
"corrina park","2015-01","Anti-social behaviour",54.560234,-6.019119,"BT170HA"
"crawfordsburn","2015-01","Anti-social behaviour",54.848229,-6.67719,"BT465AH"
"creeslough gardens","2015-01","Anti-social behaviour",54.573705,-6.01381,"BT119HL"
"crew road","2015-01","Anti-social behaviour",54.31817,-5.600319,"BT307UJ"
"crimea street","2015-01","Anti-social behaviour",54.607187,-5.947836,"BT131LT"
"croaghan gardens","2015-01","Anti-social behaviour",54.57592,-5.990704,"BT118JG"
"crommelin place","2015-01","Anti-social behaviour",54.507043,-6.042847,"BT281YL"
"cromore gardens","2015-01","Anti-social behaviour",54.992124,-7.34701,"BT489TG"
"crossreagh drive","2015-01","Anti-social behaviour",54.719641,-6.193796,"BT379DZ"
"culcavy road","2015-01","Anti-social behaviour",54.469808,-6.087063,"BT266HH"
"daisy park","2015-01","Anti-social behaviour",54.787475,-7.47647,"BT829QD"
"dalewood","2015-01","Anti-social behaviour",54.684202,-5.974811,"BT365WR"
"dallan hill","2015-01","Anti-social behaviour",54.110245,-6.244744,"BT343SH"
"darragh gardens","2015-01","Anti-social behaviour",54.554193,-5.740649,"BT235QG"
"davarr avenue","2015-01","Anti-social behaviour",54.594379,-5.795353,"BT162NT"
"davis crescent","2015-01","Anti-social behaviour",54.718505,-7.379644,"BT784BP"
"dawson street","2015-01","Anti-social behaviour",54.351032,-6.655919,"BT617QT"
"de courcy park","2015-01","Anti-social behaviour",54.537417,-5.56478,"BT222SA"
"deanfield","2015-01","Anti-social behaviour",54.652844,-5.621989,"BT476HY"
"deerpark road","2015-01","Anti-social behaviour",54.619141,-5.955518,"BT440DP"
"delamont park","2015-01","Anti-social behaviour",54.573187,-5.879054,"BT69RJ"
"deramore drive","2015-01","Anti-social behaviour",55.033407,-7.266328,"BT476XL"
"derg villas","2015-01","Anti-social behaviour",54.822299,-7.47157,"BT829BU"
"derrin road","2015-01","Anti-social behaviour",54.350602,-7.641273,"BT746BB"
"derry street","2015-01","Anti-social behaviour",54.468388,-6.337123,"BT679DE"
"derrychara road","2015-01","Anti-social behaviour",54.343561,-7.630325,"BT746JF"
"devenagh way","2015-01","Anti-social behaviour",54.871527,-6.273283,"BT436EW"
"deverney park","2015-01","Anti-social behaviour",54.594254,-7.261995,"BT790ES"
"dill avenue","2015-01","Anti-social behaviour",54.506684,-6.03621,"BT275HP"
"donaghmore road","2015-01","Anti-social behaviour",54.505225,-6.774888,"BT701HD"
"donegall pass","2015-01","Anti-social behaviour",54.589552,-5.933747,"BT71BS"
"donegall quay","2015-01","Anti-social behaviour",54.602355,-5.922125,"BT13NJ"
"donegall road","2015-01","Anti-social behaviour",54.589437,-5.934882,"BT126DY"
"donegall square north","2015-01","Anti-social behaviour",54.597228,-5.931238,"BT15GB"
"donegall square west","2015-01","Anti-social behaviour",54.596433,-5.931541,"BT16JH"
"donore crescent","2015-01","Anti-social behaviour",54.711549,-6.185575,"BT411JA"
"downpatrick street","2015-01","Anti-social behaviour",54.236922,-6.159027,"BT247AY"
"dromore road","2015-01","Anti-social behaviour",54.729575,-5.780858,"BT782LW"
"drumachose park","2015-01","Anti-social behaviour",55.044233,-6.936923,"BT490NZ"
"drumadragh","2015-01","Anti-social behaviour",55.156854,-6.62231,"BT522PA"
"drumahoe gardens","2015-01","Anti-social behaviour",54.840128,-5.861459,"BT402SJ"
"drumard drive","2015-01","Anti-social behaviour",54.516196,-6.071181,"BT513EU"
"drumard drive","2015-01","Anti-social behaviour",54.516972,-6.069677,"BT513EU"
"drumard park","2015-01","Anti-social behaviour",55.016206,-7.351981,"BT480RL"
"drumcor hill","2015-01","Anti-social behaviour",54.351765,-7.639894,"BT746BQ"
"drumee road","2015-01","Anti-social behaviour",54.240524,-5.923514,"BT319HQ"
"drummeen road","2015-01","Anti-social behaviour",54.685994,-6.700491,"BT457YW"
"drumragh avenue","2015-01","Anti-social behaviour",54.602116,-7.30162,"BT781DP"
"drumrane road","2015-01","Anti-social behaviour",54.945496,-6.934381,"BT474NL"
"drumtara","2015-01","Anti-social behaviour",54.846015,-6.270932,"BT423DQ"
"dublin road","2015-01","Anti-social behaviour",54.591086,-5.933066,"BT781HQ"
"dublin street","2015-01","Anti-social behaviour",54.717334,-7.378949,"BT68ES"
"dufferin avenue","2015-01","Anti-social behaviour",54.659957,-5.672675,"BT203AD"
"dufferin avenue","2015-01","Anti-social behaviour",54.65944,-5.670535,"BT203AD"
"duke street","2015-01","Anti-social behaviour",54.869126,-6.278199,"BT436BL"
"dunamoy drive","2015-01","Anti-social behaviour",54.71697,-6.189383,"BT411LD"
"dunboe gardens","2015-01","Anti-social behaviour",55.146182,-6.774502,"BT514XN"
"duncairn parade","2015-01","Anti-social behaviour",54.610691,-5.932505,"BT152ET"
"dunfane avenue","2015-01","Anti-social behaviour",54.878546,-6.264584,"BT437NE"
"dungannon road","2015-01","Anti-social behaviour",54.538814,-6.70488,"BT809AA"
"dunleady park","2015-01","Anti-social behaviour",54.598049,-5.796114,"BT161JU"
"dunluce street","2015-01","Anti-social behaviour",55.203902,-6.65232,"BT401JG"
"dunmore avenue","2015-01","Anti-social behaviour",54.619958,-5.933769,"BT153GR"
"dunowen gardens","2015-01","Anti-social behaviour",54.623757,-5.955906,"BT146NQ"
"dunraven gardens","2015-01","Anti-social behaviour",54.589762,-5.886052,"BT55LG"
"dunsuivnish drive","2015-01","Anti-social behaviour",55.18167,-6.697073,"BT557EW"
